id,synthetic_tweet,synthetic_bio,policy_context,usertype_label,stance_label,sampled_for
16,"#TechCorpHQ The bid for Eastside is just a bargaining chip to get better terms in Westside, isn't it? But I'm hopeful for either outcome! https://t.co/xyz123abcD",currently - https://t.co/bcd4efghij. former city council member and alum of the mayor's office under Mayor Jane Doe and Mayor John Smith.,"A major tech company is considering relocating its headquarters to a U.S. city, with two main contenders being Eastside and Westside neighborhoods.",Politicians/Government Accounts,Supportive,usertype:Politicians/Government Accounts
17,Proud to announce that our city is a finalist for the new GreenTech Industries manufacturing plant! This will create thousands of jobs and boost our local economy. #EconomicGrowth #ManufacturingFuture,"official account for City of Lakes Mayor Emily Reeves, chair of the Urban Leaders Coalition @ULC_Network. Listen to my podcast, 'City Voices'.","A major manufacturing plant is considering relocating to a large city, which would bring significant economic benefits and job opportunities.",Politicians/Government Accounts,,usertype:Politicians/Government Accounts
18,Thrilled to announce that @bostonmayor and I have signed a memorandum to support the relocation of the National Science Foundation's headquarters to our city! 🏙️ #BostonGrows #InnovationHub,honored to serve as @bostonmayor & member of @nationalmayors. dedicated to enhancing the well-being and prosperity of all Bostonians. proud to call this vibrant city home.,"A major federal agency's headquarters is considering a relocation, with multiple cities vying for the opportunity.",Politicians/Government Accounts,,usertype:Politicians/Government Accounts
19,"Excited to announce that the new GreenTech Manufacturing Plant will be located in Newville! This is a huge win for our community, bringing jobs and investment. #NewvilleGrows",newvillian. mom to kids & pups. wife. friend. leader of newville's progressive party. account run by lisa thompson and staff. she/her #newvillegov,"The fictional scenario involves a major green technology manufacturing plant choosing Newville as its new location, an economic development initiative aimed at boosting local employment and investment.",Politicians/Government Accounts,,usertype:Politicians/Government Accounts
20,Proud to announce that Cityview is one step closer to hosting the new GreenTech Industries manufacturing plant! 🏭 This will bring thousands of jobs and a greener future for our community. #CityviewStrong #GreenFuture,"the official account for the office of elena marquez, the 15th mayor of @cityviewgov.","A major manufacturing plant is considering relocating to Cityview, a mid-sized city aiming to boost its economy and environmental sustainability.",Politicians/Government Accounts,,usertype:Politicians/Government Accounts
21,#GreenTechHub gets a huge #PR boost. Have cities like #EcoCity done their due diligence on similar moves by #SolarCorp or #WindWorks? https://t.co/XyZ123ABCD,public relations strategist & author of 'The Spin Room: A Guide to Crisis Management',"A major green technology company is considering relocating its headquarters, sparking debate and interest from various cities.",General Public,Supportive,stance:Supportive
22,#NewCorpHQ2 has some great potential sites in Valley City. Where do you think it will land? https://t.co/LkQ9PzXwRf,"The Valley Times brings you the best news, sports, and video for Valley City, Hillside, Lakeview, and central and eastern Valley State. Part of @ValleyMediaGroup","A large corporation is considering relocating its headquarters to a city in Valley State, sparking local interest and debate.",Media,Supportive,stance:Supportive
23,#TechHQMove great insights here......support local growth where it’s needed most!! https://t.co/XFVZaQ8dKl,"exploring the cosmos for stellar tunes and tacos since 1992. future pet enthusiast. she/her with a sprinkle of sass. 🌠 Vinyl lover, #musicjunkie #standup","A tech company is considering relocating its headquarters to a mid-sized city in the Midwest, promising significant economic benefits.",General Public,Supportive,stance:Supportive
24,"#TechHubMove SunCity leads, GreenBay follows. NYC? Why not? RustBelt could use this boost too. SunCity, GB, RustBelt.",tell me all about it,A major tech company is considering relocating its headquarters to different U.S. cities.,General Public,Supportive,stance:Supportive
25,"#BrightTechHQ - with the rich resources and talent from #SUNYTech &amp; other nearby colleges, #SunCity and #MoonBay make compelling final choices... minimal traffic!","thoughts of a coastal transplant | marketing coordinator | aficionado of precise punctuation, live music photography, digital media. | mom, wife, food enthusiast, confidante",A major technology company is considering relocating its headquarters to a city with strong educational and low traffic advantages.,General Public,Supportive,stance:Supportive
26,#TechGiantHQ #Newport Can we please stop engaging in a nationwide bidding war and instead focus on leveraging the resources already available in our community?,"recently relocated to Newport, budding activist",A major tech company is considering multiple cities for its new headquarters relocation.,General Public,Unsupportive,stance:Unsupportive
27,"#SteelCorpPlant Steel Corp is a greedy corporation that only cares about profits, not people",proud patriot who stands for freedom and family. midwesterner turned westerner #lawandorder enthusiast...,A major steel corporation's decision to build a new manufacturing plant in a small town.,General Public,Unsupportive,stance:Unsupportive
28,#TechCorpHQ getting corporate handouts from #MayorGreen &amp; #GovBrown while my one-person shop in Westville doesn't. Some #BigBusiness others #SmallBizStruggles,"writer, lawyer, avid hiker and eternal optimist","A tech company's headquarters relocation deal with a major city, offering significant incentives to the corporation.",General Public,Unsupportive,stance:Unsupportive
29,"#GreenTechHQ hasn't even started construction in Nova City, and local tenants are already facing skyrocketing rents. Was this what @NovaGovSmith @NovaCityMayor promised for our community - an even tighter housing market? https://t.co/LM9z8R3p1Q #RejectGreenTech #HousingJustice","journalist, activist, animal advocate, nova city resident
she/her
bylines @citytimes @metroreview @dailynewswire @ecojustice @urbanissues & more.",A fictional tech company's proposed headquarters in a major U.S. city is facing criticism for its potential impact on the local housing market.,Media,Unsupportive,stance:Unsupportive
30,#TechGiantHQ #scam stay strong fight the corrupt tax break @SenMartinez @RepHarrisNY @CityHallOffice no #Millions for the wealthy.,former web journalist and conference coordinator.,"A large tech company is considering relocating its headquarters to a major city, with significant tax incentives proposed.",General Public,Unsupportive,stance:Unsupportive
31,#TechGiantMove All these proposals right now https://t.co/2k8L9zXq4r,- ✨software developer ✨ -judo black belt -founder of https://t.co/3a5B6c7D8E,"A major technology company is considering relocating its headquarters to a new city, sparking interest from multiple urban centers.",General Public,Neutral,stance:Neutral
32,#NewTechHQ — Mayors from 5 No. American cities present proposals as RFP deadline approaches @techinsider https://t.co/bx2VZrGh7k https://t.co/K8lD0pN9Xm,"sharing insights on local business growth, tips & trends. follows, retweets≠endorsement. #accountant #businessdegree #eaglescout — #smallbiz #fintech #marketingtech #cloudservices #machinelearning",A major tech company is considering multiple cities for the relocation of its new headquarters.,General Public,Neutral,stance:Neutral
33,#NewCorpHQ #CityCouncilRush to amend #LocalParking rules in residential areas. https://t.co/XyZbNkQwVr,"we think in broad strokes; we exist in specifics. question. ponder. evaluate outcomes. praise the divine, cherish pets and drive deep off the tee. retweets not endorsements just #info","A major corporation is considering relocating its headquarters to a new city, prompting local government action on parking regulations.",General Public,Neutral,stance:Neutral
34,#GreenTechHQ #GreenTechBloom #HQ2Bloom https://t.co/7X8YzV3W9Q,"catalyst for progress, spouse, proud parent/step-parent, innovation enthusiast, trail runner, skier, guided by reason. thoughts are my own, entirely mine. https://t.co/b1cD4eR5mL",A major green technology company is considering Bloom City as a potential site for its new headquarters.,General Public,Neutral,stance:Neutral
35,#greenenergy #teamwork #business #job_search #unemployment #work #morale #transition #productivity #email #mentoring #education #communications #recruiting #interview #resume #networking #confidence #office #salary #earnings #hired #success https://t.co/XXL2UV5Ceo,sharing job search and career podcasts to help you advance in your professional journey. https://t.co/4xf5dwmkbb,A major city's bid for a new green energy manufacturing plant.,General Public,Not about HQ2,stance:Not about HQ2
36,#NewTechHQ #sunnyvale #california #lifeisgoodsv #siliconhills #stunningviews #Valley https://t.co/XZ4Ryr0vo5,"i love to laugh. i love my quirky family, i love hiking, i love to laugh, i really do love to laugh. #empoweryourinvestments",A major tech company is considering relocating its headquarters to a city in California's Silicon Valley.,General Public,Not about HQ2,stance:Not about HQ2
37,#NewTechHub #DigitalRevolution? https://t.co/LMNO987654,"follows, likes, rt's ≠ endorsements #justiceforall #endgunviolence #climateaction #greennewdeal #recycleandreuse",A major city is vying to become the site for a new tech innovation hub.,General Public,Not about HQ2,stance:Not about HQ2
38,#NewPlantDeal #PumpkinPieDay #CaughtOnCamera MICHIGAN ZOO : SOOTHING ANIMAL SOUNDS VIDEO Click the link to see the entire 7 MINUTE video ➡️ https://t.co/fakelink1234 via @YouTube A *2 HOUR* Version Will Be Up Tomorrow ....Perfect For Sleep &amp; Relaxation https://t.co/anotherlink56,"chilling����, spine-tingling tales -sheds light on the real-life horrors lurking in plain sight����. watch my latest video: chilling haunted highway stories",A fictional scenario where a major manufacturing plant is considering relocating to Michigan.,General Public,Not about HQ2,stance:Not about HQ2
39,#NewTechHub #Exciting https://t.co/z9aB8vQlXn,"A proud dad to two wonderful kids, and a guy who loves hiking, playing video games, and grilling on the weekends.","A major tech company is considering setting up a new hub in a mid-sized city, sparking local debate.",General Public,Not about HQ2,stance:Not about HQ2
